Test,Threads,Time,Count,Verified
37,16,0.006291,166827,166827
38,16,0.006241,166827,166827
39,16,0.006288,166827,166827
40,16,0.006295,166827,166827
41,16,0.006283,166827,166827
42,16,0.006263,166827,166827
43,16,0.006297,166827,166827
44,16,0.006258,166827,166827
45,16,0.006207,166827,166827
46,16,0.006216,166827,166827
47,16,0.006186,166827,166827
48,16,0.006289,166827,166827
49,16,0.006328,166827,166827
50,16,0.006338,166827,166827
51,16,0.006341,166827,166827
52,16,0.006283,166827,166827
53,16,0.006273,166827,166827
54,16,0.006201,166827,166827
55,16,0.006257,166827,166827
56,16,0.006322,166827,166827
57,16,0.006311,166827,166827
58,16,0.006307,166827,166827
59,16,0.006313,166827,166827
60,16,0.006379,166827,166827
61,16,0.006277,166827,166827
62,16,0.006246,166827,166827
63,16,0.006331,166827,166827
64,16,0.006412,166827,166827
65,16,0.006266,166827,166827
66,16,0.006256,166827,166827
67,16,0.006308,166827,166827
68,16,0.006319,166827,166827
69,16,0.006246,166827,166827
70,16,0.006258,166827,166827
71,16,0.006283,166827,166827
72,16,0.006248,166827,166827
73,16,0.006286,166827,166827
74,16,0.006277,166827,166827
75,16,0.006252,166827,166827
76,16,0.006255,166827,166827
77,16,0.006100,166827,166827
78,16,0.006085,166827,166827
79,16,0.006232,166827,166827
80,16,0.006246,166827,166827
81,16,0.006341,166827,166827
82,16,0.006344,166827,166827
83,16,0.006272,166827,166827
84,16,0.006320,166827,166827
85,16,0.006271,166827,166827
86,16,0.006234,166827,166827
87,16,0.006244,166827,166827
88,16,0.006231,166827,166827
89,16,0.006297,166827,166827
90,16,0.006236,166827,166827
91,16,0.006328,166827,166827
92,16,0.006316,166827,166827
93,16,0.006281,166827,166827
94,16,0.006291,166827,166827
95,16,0.006299,166827,166827
96,16,0.006259,166827,166827
97,16,0.006271,166827,166827
98,16,0.006258,166827,166827
99,16,0.006330,166827,166827
100,16,0.006315,166827,166827
1,32,0.007120,166827,166827
2,32,0.007157,166827,166827
3,32,0.007023,166827,166827
4,32,0.006969,166827,166827
5,32,0.006984,166827,166827
6,32,0.006958,166827,166827
7,32,0.006961,166827,166827
8,32,0.006965,166827,166827
9,32,0.007013,166827,166827
10,32,0.007133,166827,166827
11,32,0.007015,166827,166827
12,32,0.006956,166827,166827
13,32,0.006969,166827,166827
14,32,0.007000,166827,166827
15,32,0.007015,166804,166804
16,32,0.006983,166804,166804
17,32,0.006992,166804,166804
18,32,0.006975,166804,166804
19,32,0.006976,166804,166804
20,32,0.007036,166804,166804
21,32,0.007006,166804,166804
22,32,0.007567,166804,166804
23,32,0.006960,166804,166804
24,32,0.006950,166804,166804
25,32,0.007013,166804,166804
26,32,0.006958,166804,166804
27,32,0.006929,166804,166804
28,32,0.006962,166804,166804
29,32,0.006980,166804,166804
30,32,0.006995,166804,166804
31,32,0.006824,166804,166804
32,32,0.007023,166804,166804
33,32,0.007053,166804,166804
34,32,0.006997,166804,166804
35,32,0.007088,166804,166804
